¿En qué rango de edad te encuentras?,Ciudad de residencia,¿Cuál es tu motivación y/ó expectativa para postular al programa Track de mujeres?,Grado máximo de estudios alcanzados,¿Con qué definición te identificas actualmente? ,"Actualmente, ¿Cuáles son las 3 habilidades,  fortalezas o conocimientos que destacarías de ti?",¿Qué habilidades o conocimientos podrías o te gustaría adquirir o mejorar a través del programa?,"Actualmente, ¿Cuál es su fuente de ingresos?",¿Tienes acceso a una computadora e internet?,¿Tienes disponibilidad de asistir presencialmente 2 días seguidos a un taller (entre junio/julio y agosto)?,¿Qué días tienes mayor disponibilidad de tiempo para capacitarte o asistencia a eventos?,¿Cuál seria el horario de preferencia? ,¿Hace cuánto tiempo iniciaste en el mundo del emprendimiento?,Nombre del emprendimiento,Breve descripción en un párrafo del emprendimiento.,Rubro del emprendimiento,Antigüedad de tu emprendimiento en el que trabajas actualmente,¿Cuántas personas conforman tu emprendimiento actualmente? ,¿Cómo te enteraste del programa Track Mujeres,¿Dónde sueles buscar y compartir información? ¿Tienes alguna red social o plataforma favorita para mantenerte al día?,Categorizacion_Motivacion_Expectativa_Postulacion,Categorizacion_Habilidad_Adquisicion,Categoria_Habilidades_Destacadas
26 a 30 años,Santa Cruz,Mi motivación es crecer profesionalmente para poder en un futuro ayudar a todas las mujeres o personas que sean emprendedoras al igual que yo y necesiten ese apoyo para seguir creciendo,Diplomado,Trabajo y emprendo como actividad paralela,"Destacó la perseverancia en mi persona, que no se rinde ante mis objetivos, soy una persona que se adapta al cambio y busca la excelencia en el trabajo","Quiero adquirir conocimientos de herramientas que me permitan dar el siguiente paso en mi emprendimiento, como también tener el rose empresarial y adquirir nuevos contactos ",De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Mañana,Hace más de un año,Moobbe,"Moobbe es una plataforma generadora de carga, enfocada en conectar al transportista con el cliente o generador de carga, brindando transparencia en los tiempos de pago y precios del servicio ",Tecnología,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Linkedin,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
41 a 45 años,Cochabamba,Mejorar mi economia familiar ,Licenciatura,Soy emprendedora,"Responsable, trabajo bajo presión, no le tengo miedo a los cambios","Actualizarme mas en lo tecnológico, llegar a mas clientes para potenciar mi empresa",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de 10 años,Distribución de agua en botellón ,Purificacion y filtracion de agua distribución de agua en botellón ,Gastronomía y/ó alimentos,Más de 10 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Liderazgo y Empoderamiento
36 a 40 años,Cochabamba,Deseo potenciar mis habilidades y fortalecer mi espíritu emprendedor con nuevos conocimientos. ,Diplomado,Soy emprendedora,"Comunicación visual, fotografía y manejo de TICs","Conocimiento de MKT digital, SEO, habilidades gerenciales.",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace menos de 1 año,Game On Store,"Tienda digital, venta equipos y juegos.",Tecnología,Menos de 1 año,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Comunicación y Redes
26 a 30 años,Cochabamba,Aprender y mejorar las ventas de mi emprendimiento tener más conocimiento para dar empleos a más personas ,Técnico medio o superior,Trabajo y emprendo como actividad paralela,"Perseverancia
Constancia 
Me gusta mucho mi trabajo mi emprendimiento me agrada como se refleja hacia las personas ","Mejorar ventas
Manejo de negocios
Cierre de ventas
",De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Mañana,Hace más de un año,Paletas CANDY ,"Es un emprendimiento de paletas artesanales a base de pura pulpa de fruta mantenimiento lo saludable de la fruta no usamos colorantes ni saborizantes artificiales tenemos sabores exoticos como copoazu maracuya
Tumbo flor de jamaica",Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
26 a 30 años,La Paz,"Crecer con mi negocio, hacer conexiones y aprender más ",Licenciatura,Trabajo como profesional independiente,"Soy emprendedora, creativa y líder. ",Me gustaría saber más de negocios y networking para crecer. ,De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Tarde,Hace más de un año,Carolina Limachi (por lanzar SparkLab),Me dedico a la creación de productos digitales sobre Marketing Digital para emprendedores y asesorías sobre Marca Personal.,Servicios profesionales y/ó consultorías,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
26 a 30 años,Santa Cruz,Para tener más conocimiento soy una mujer empoderada ,Técnico medio o superior,Soy emprendedora,Que no me doy por vencida ,Interessante que ayuden ala mujeres,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de un año,Delitotai ,Elaborar producto de pulpa de totai,Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Otras
26 a 30 años,La Paz,Poder empoderar  a las mujeres en el mundo del negocio. ,Licenciatura,Soy emprendedora,"Responsabilidad, creatividad y resiliencia ",Todo los que pueda. ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace más de un año,Zoe Tejidos,"Emprendimiento de tejido de amigurumis con lana reciclada, apoyando la economía naranja. ",Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Otro,Creatividad y Solución de Problemas
31 a 35 años,Cochabamba,Motivación superarme como persona ,Bachiller,Soy emprendedora,Aprender nuevas cosas ,Aprender más para poder tener un mejor conocimiento ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,La moda en un clik,Venta de ropa y artículos ,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Emprendimiento e Innovación
31 a 35 años,Santa Cruz,Obtener nuevas herramientas para hacer crecer mi emprendimiento ,Técnico medio o superior,Soy emprendedora,"Creativa, perseverancia y aprendo rápido ","Manejo de redes, y marketing ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de un año,Crohilitos ,Accesorios tejidos a crohet para niños y niñas,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
31 a 35 años,Cochabamba,Quiero tener las herramientas para poder hacer crecer mi emprendimiento. Antes ya pasé seminarios de Bancosol ,Licenciatura,Soy emprendedora,"Liderazgo, perseverancia y creatividad","Marketing digital, costos e inventarios",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de un año,Smile Pet ,"Ropa, camas y accesorios para mascotas personalizadas ","Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
26 a 30 años,El Alto,Poder ayudar a mis padres y tener un negocio que genere empleavilidad ,Licenciatura,En búsqueda de empleo,"Puntualidad ,respeto y trabajo en equipo",Mejorar aun los conocimientos ,Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Trabajo en Equipo y Colaboración
36 a 40 años,Santa Cruz,Adquirir conocimientos y herramientas que me ayuden a potenciar. Mis habilidades y a despertar aun mas mis ideas ,Licenciatura,Soy emprendedora,"Responsabilidad,perseverancia y siempre positiva ","Liderazgo, confianza ",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de un año,Atenea curveme,Productos de belleza y vitaminas,"Belleza, cuidado personal",De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
26 a 30 años,Cochabamba,Deseo de aprender y mejorar ,Post grado,Soy emprendedora,Conocimiento de marketing y ventas así como algo de liderazgo ,Más que todo ampliar mis conocimientos en desarrollo de negocios y estrategias ,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Noche,Hace más de un año,Essens,"Essens se dedica a la elaboración de cosméticos a base de extractos naturales, como ser champú, acondicionador, cremas, geles entre otros","Belleza, cuidado personal",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Toma de decisiones y negociación,Liderazgo y Empoderamiento
26 a 30 años,Santa Cruz,Mis hijos son mi motivación y Hacer crecer mi emprendimiento para generar más ingresos,Bachiller,Soy emprendedora,"Persistente, soñadora y creativa",Marketing y publicidad ,A través de mi empresa o emprendimiento,Si,No,Fines de semana,Tarde,Hace menos de 1 año,Dely and Dely,"Comida: silpanchos, hamburguesas y pollo a la broasterd",Gastronomía y/ó alimentos,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
46 a 50 años,La Paz,Aumentar conocimientos de emprendimiento,Maestria,Trabajo como profesional independiente,"Perseverancia, compromiso y responsabilidad.",Innovación de emprendimiento,Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Otro,Resiliencia y Determinación
31 a 35 años,La Paz,Mi motivación es lograr hacer que mi empresa sea un referente en su rubro a nivel nacional e internacional ,Técnico medio o superior,Soy emprendedora,"Constante, determinada y ambiciosa","Desarrollar el area financiera, posicionar mi marca y liderazgo ",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,Sin Par calzados ,"Somos una empresa que realiza calzados de cuero a a medida, donde cada producto es único y hecho a mano con la máxima calidad.
Contamos con expertos artesanos bolivianos en cuero para realizar estas obras que destacan en los pies ",Manufactura,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Resiliencia y Determinación
46 a 50 años,Cochabamba,Aprender más ,Técnico medio o superior,En búsqueda de empleo,"Ser persistente,  empática",Me gustaría saber más sobre Emprender,Trabajo asalariado o eventual,,,,,,,,,,,,,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
36 a 40 años,Cochabamba,Para conocer nuevas pautas para hacer crecer mi emprendimiento.,Licenciatura,Soy emprendedora,"Versatilidad, inteligente,confianza.","Incrementar mi conocimiento con experiencia de otros emprendedores,habilidad en el ámbito virtual.",A través de mi empresa o emprendimiento,No,Si,Indiferente,Tarde,Hace más de 10 años,Arnezbol ,Fabrica de colchones ortopedicos  y semiortopedicos.,Actividad comercial,Más de 10 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Flexibilidad y Adaptabilidad
36 a 40 años,La Paz,Obtener más conocimientos,Licenciatura,Trabajo y emprendo como actividad paralela,"Creatidad, perseverancia y liderazgo","Comunicación Digital, Big Data y Finanzas",A través de mi empresa o emprendimiento,Si,No,De lunes a viernes,Noche,Hace más de 10 años,Lady Glam,Producción y comercialización de Calzados Femeninos,Manufactura,6 a 10 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
36 a 40 años,La Paz,Emprender ,Técnico medio o superior,Soy emprendedora,"Repostería, cocina ",Marketing y finanzas ,Trabajo asalariado o eventual,,,,,,,,,,,,,Otro,Finanzas_financiamiento,Otras
36 a 40 años,Cochabamba,Hacer crecer mi emprendimiento ,Bachiller,Soy emprendedora,Soy repostera ,Mejorar,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace más de 5 años,Repostería Jossvi ,Variedad de masitas ,Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Otras
41 a 45 años,Santa Cruz,"Aprender  capacitarse para emprender mi negocio,no se como empezar  ,estar en compañía de personas que me guiarán a emprender.",Licenciatura,Trabajo y emprendo como actividad paralela,"Motivación,soñadora y optimista","Emprendimiento ,manejo de marketin y idea de negocio.",De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Tarde,Hace más de un año, Psicologia integral ,Formacion y capacitacion en áreas de Psicologia  Infnato juvenil y Familia,Servicios profesionales y/ó consultorías,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Resiliencia y Determinación
18 a 25 años,Santa Cruz,"Mi motivación para postular al programa Track de mujeres radica en mi deseo de ser parte de una comunidad que fomente el crecimiento profesional y el empoderamiento de las mujeres en el campo en el campo del emprendrurismo. 
Espero aprovechar esta oportunidad para aprender de otras mujeres inspiradoras, compartir experiencias y contribuir al avance de la igualdad de género.
Mis expectavas son amplias desde cursos , hasta mentorias que nos ayuden .",Licenciatura,Trabajo y emprendo como actividad paralela,"Mis habilidades de resolución de problemas, mi capacidad para trabajar en equipo y mi pasión por aprender y adaptarme a nuevas tecnologías o conceptos rápidamente. ","A través de este programa, me encantaría adquirir habilidades sólidas en desarrollo de negocios y gestión empresarial. Además, me gustaría mejorar mis habilidades de liderazgo y aprender estrategias efectivas para llevar adelante un emprendimiento exitoso. Estoy emocionada por la oportunidad de desarrollarme en estas áreas y convertirme en una emprendedora más competente y segura.",De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Tarde,Hace más de 5 años,TODO PARA TU BEBE,Venta de ropa y accesorios para bebes recien nacidos hasta 2 años,"Textil, moda, diseño y/ó venta de ropa",6 a 10 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
31 a 35 años,Cochabamba,Lanzar mi emprendimiento,Licenciatura,Soy emprendedora,"Persistencia, paciencia y voluntad ","Agilidad, valentía y estrategica",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace menos de 1 año,,Tienda virtual,Tecnología,Menos de 1 año,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
41 a 45 años,Cochabamba,Aprender mas,Técnico medio o superior,Soy emprendedora,"Perseverancia creatividad, ser ave fenix",Ventas virtuales,A través de mi empresa o emprendimiento,No,Si,De lunes a viernes,Tarde,Hace más de 5 años,Tipiko eco artesanal,Artesanias y confeccion de materiales naturales y derivados en reciclado,Artesanía y manualidades,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Marketing digital,Resiliencia y Determinación
Más de 50 años,Cochabamba,Aprender mas para fortalecer mi negocio,Técnico medio o superior,Trabajo como dependiente,Optimismo creatividad innovacion,Mejoramiento en ventas,A través de mi empresa o emprendimiento,No,Si,De lunes a viernes,Tarde,Hace más de 5 años,Tipiko moda infantil,Ropa para niños artesanal,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
46 a 50 años,La Paz,Aprender a vender mediante la tecnología ,Técnico medio o superior,Soy emprendedora,"Independiente, sociable y emprendedora ",Vender usando la tecnología del celular ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de 5 años,No tengo,Tengo tienda al por mayor y menor de consumo ,Actividad comercial,6 a 10 años,Sólo yo,Facebook ,No tengo todavía ,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Marketing digital,Emprendimiento e Innovación
36 a 40 años,Santa Cruz,Capacitación para ser una excelente emprendedora ,Bachiller,Trabajo y emprendo como actividad paralela,"Persistente, trabajadora, dinámica ","Mejorar la comunicación con clientes, técnicas y estrategias de venta, manejo de imagen y redes ",De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Mañana,Hace más de 5 años,La Camba,Mermeladas artesanales ,Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Toma de decisiones y negociación,Resiliencia y Determinación
41 a 45 años,La Paz,Crecer con mi emprendimiento ,Maestria,Soy emprendedora,"Creativa, persistente y asertiva","Capacidad para vender, capacidad de negociación, estrategias de marketing. ",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace menos de 1 año,Amtaña,"Elaboración de imanes artesanal, basados en lugares iconicos, tradiciones y/o costumbres. ",Artesanía y manualidades,Menos de 1 año,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
31 a 35 años,Santa Cruz,Me interesa bastante este programa porque busco adquirir mayor conocimiento para implementar a mi emprendimiento.,Diplomado,Soy emprendedora,"Perseverancia, empatía y curiosidad.",Oratoria ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de un año,Oxalium,Empresa de servicio y venta de insumos de jardinería.,Actividad comercial,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Instagram,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
36 a 40 años,El Alto,Tengo mi propio negocio y mi expectativas son mejorar y crecer el negocio para sobresar y sueños de emprender con una mejor calidad de atención y poner de repente dentro del propio negocio una atención y/o ayuda de orientación en temas de violencia para mis clientes tes fijos que ya tengo dentro de mi negocio o también seguir creciendo dentro de mi negocio para una mejor atención a mis clientes. Fijos .,Técnico medio o superior,Trabajo y emprendo como actividad paralela,"Mujer lider ,emprendedora y madre de familia que nunca se rinde .",Mejorar y actualizarme dentro del campo del márquetin para la.mejor atención al cliente fijo de mi puesto de venta .,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Tarde,Hace más de 10 años,"Condimentos la  ""pacesita"".","Ofrecer productos de condimentos la ""pacesita"" en un mercado de la ciudad de El Alto ""
Que actualmente está en funcionamiento pero también al mismo tiempo concientizar ah la clientela sobre temas de prevención con la problemáticas actuales y coyunturles",Servicios profesionales y/ó consultorías,Más de 10 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Herramientas digitales,Emprendimiento e Innovación
31 a 35 años,Santa Cruz,Desarrollar un emprendimiento propio ,Maestria,Trabajo y emprendo como actividad paralela,"Conocimientos en el área de Marketing, sociable, perseverancia ",Aumentar mi red de contactos con otras emprendedoras ,Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Herramientas digitales,Resiliencia y Determinación
46 a 50 años,Cochabamba,Busco el constante aprendizaje me parece muy interesante este curso quiero aprender todo lo que pueda en la vida,Licenciatura,En búsqueda de empleo,"Soy una persona muy trabajadora, luchadora,curiosa en cualquier actividad que pueda ir en favor de mi crecimiento personal y profesional  ","Me gustaríame en este curso encontrar las herramientas y habilidades necesarias para incursionar en el correcto emprendimiento para lograr mi independencia profesional,",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
Más de 50 años,Santa Cruz,Confianza en si misma,Técnico medio o superior,En búsqueda de empleo,"Ganas de superarme,honrada y puntual",No tener miedo al exito,Aún no percibo ingresos,,,,,,,,,,,,,Otro,Desarrollo personal y habilidades blandas,Responsabilidad y Compromiso
31 a 35 años,Santa Cruz,Aprender a manejar marketing y contabilidad básica para mi negocio,Licenciatura,Soy emprendedora,"Manejo de computadora ,menejo de redes sociales ,correo electronico y trabajo en equipo",Marketing publicidad,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace menos de 1 año,Tienda regalos y accesorios,Regalos  para todo acontecimientos,Tecnología,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Trabajo en Equipo y Colaboración
46 a 50 años,El Alto,Mi motivación es de aprender cosas nuevas ,Bachiller,Trabajo como dependiente,Aprendo rápido ,Capacitación ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de 10 años,Vendedora,Venta de ropa ,"Textil, moda, diseño y/ó venta de ropa",Más de 10 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Desarrollo personal y habilidades blandas,Desarrollo Personal y Profesional
41 a 45 años,La Paz,Independiente laboral,Licenciatura,Trabajo como profesional independiente,"Honesta, responsable, comprometida",Repostería,A través de mi empresa o emprendimiento,Si,No,Fines de semana,Tarde,Hace más de 10 años,Pastelería,Pastelería,Gastronomía y/ó alimentos,Más de 10 años,Sólo yo,Redes sociales Banco Sol,Facebook,Ser dueñas de su tiempo.,Otro,Liderazgo y Empoderamiento
31 a 35 años,Cochabamba,Capacitarse para mejorar mi emprendimiento ,Licenciatura,Soy emprendedora,Capacidad de producción ,"Marketing., manejo de finanzas",Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Emprendimiento e Innovación
